Box,Treatment,Block,Leaf,Leaflet,Direction,Te,Tu
4,10Te10Tu48h,1,5,3,Up,0,0
4,10Te10Tu48h,1,5,4,Up,0,0
4,10Te10Tu48h,1,5,5,Up,0,0
5,10Te10Tu48h,1,2,1,Down,0,0
5,10Te10Tu48h,1,2,2,Down,4,2
5,10Te10Tu48h,1,2,3,Down,6,4
5,10Te10Tu48h,1,2,1,Up,2,2
5,10Te10Tu48h,1,2,2,Up,6,2
5,10Te10Tu48h,1,2,3,Up,0,9
5,10Te10Tu48h,1,3,1,Down,1,0
5,10Te10Tu48h,1,3,2,Down,0,1
5,10Te10Tu48h,1,3,3,Down,0,0
5,10Te10Tu48h,1,3,4,Down,0,0
5,10Te10Tu48h,1,3,5,Down,1,6
5,10Te10Tu48h,1,3,1,Up,0,9
5,10Te10Tu48h,1,3,2,Up,0,0
5,10Te10Tu48h,1,3,3,Up,1,0
5,10Te10Tu48h,1,3,4,Up,0,2
5,10Te10Tu48h,1,3,5,Up,1,1
5,10Te10Tu48h,1,4,1,Down,0,0
5,10Te10Tu48h,1,4,2,Down,0,0
5,10Te10Tu48h,1,4,3,Down,0,0
5,10Te10Tu48h,1,4,4,Down,3,1
5,10Te10Tu48h,1,4,5,Down,0,0
5,10Te10Tu48h,1,4,1,Up,0,0
5,10Te10Tu48h,1,4,2,Up,3,2
5,10Te10Tu48h,1,4,3,Up,1,1
5,10Te10Tu48h,1,4,4,Up,4,2
5,10Te10Tu48h,1,4,5,Up,0,1
5,10Te10Tu48h,1,5,1,Down,2,4
5,10Te10Tu48h,1,5,2,Down,1,4
5,10Te10Tu48h,1,5,3,Down,2,9
5,10Te10Tu48h,1,5,4,Down,3,8
5,10Te10Tu48h,1,5,5,Down,1,4
5,10Te10Tu48h,1,5,1,Up,9,2
5,10Te10Tu48h,1,5,2,Up,3,16
5,10Te10Tu48h,1,5,3,Up,2,2
5,10Te10Tu48h,1,5,4,Up,2,23
5,10Te10Tu48h,1,5,5,Up,1,19
6,10Te10Tu48h,2,2,1,Down,16,2
6,10Te10Tu48h,2,2,2,Down,9,5
6,10Te10Tu48h,2,2,3,Down,18,9
6,10Te10Tu48h,2,2,1,Up,2,7
6,10Te10Tu48h,2,2,2,Up,5,5
6,10Te10Tu48h,2,2,3,Up,0,23
6,10Te10Tu48h,2,3,1,Down,5,3
6,10Te10Tu48h,2,3,2,Down,0,0
6,10Te10Tu48h,2,3,3,Down,0,0
6,10Te10Tu48h,2,3,4,Down,6,1
6,10Te10Tu48h,2,3,5,Down,0,0
6,10Te10Tu48h,2,3,1,Up,3,2
6,10Te10Tu48h,2,3,2,Up,0,0
6,10Te10Tu48h,2,3,3,Up,0,0
6,10Te10Tu48h,2,3,4,Up,0,0
6,10Te10Tu48h,2,3,5,Up,4,7
6,10Te10Tu48h,2,4,1,Down,2,5
6,10Te10Tu48h,2,4,2,Down,0,3
6,10Te10Tu48h,2,4,3,Down,0,15
6,10Te10Tu48h,2,4,4,Down,5,3
6,10Te10Tu48h,2,4,5,Down,7,8
6,10Te10Tu48h,2,4,1,Up,1,65
6,10Te10Tu48h,2,4,2,Up,0,14
6,10Te10Tu48h,2,4,3,Up,0,40
6,10Te10Tu48h,2,4,4,Up,11,30
6,10Te10Tu48h,2,4,5,Up,33,13
6,10Te10Tu48h,2,5,1,Down,6,1
6,10Te10Tu48h,2,5,2,Down,2,0
6,10Te10Tu48h,2,5,3,Down,0,0
6,10Te10Tu48h,2,5,4,Down,0,0
6,10Te10Tu48h,2,5,5,Down,5,4
6,10Te10Tu48h,2,5,1,Up,11,4
6,10Te10Tu48h,2,5,2,Up,1,1
6,10Te10Tu48h,2,5,3,Up,1,10
6,10Te10Tu48h,2,5,4,Up,2,0
6,10Te10Tu48h,2,5,5,Up,2,5
7,10Te10Tu48h,2,2,1,Down,3,0
7,10Te10Tu48h,2,2,2,Down,0,0
7,10Te10Tu48h,2,2,3,Down,0,0
7,10Te10Tu48h,2,2,1,Up,1,0
7,10Te10Tu48h,2,2,2,Up,1,0
7,10Te10Tu48h,2,2,3,Up,0,0
7,10Te10Tu48h,2,3,1,Down,28,1
7,10Te10Tu48h,2,3,2,Down,4,13
7,10Te10Tu48h,2,3,3,Down,6,9
7,10Te10Tu48h,2,3,4,Down,11,11
